Ref,Topic En,Topic He,Slug
Yoma 76a:5-6,Tanakh,"תנ""ך",tanakh
Berakhot 13a:16,Tanakh,"תנ""ך",tanakh
Berakhot 8a:30,Tanakh,"תנ""ך",tanakh
Eruvin 54b:5,Tanakh,"תנ""ך",tanakh
Pesachim 35a:2,Ma'aser,מעשר,maaser
Sanhedrin 68a:5,Limbs,אבר,limbs
Sanhedrin 95b:10-12,Limbs,אבר,limbs
Bava Batra 75a:18,Limbs,אבר,limbs
Berakhot 63a:18-19,Ma'aser,מעשר,maaser
Eruvin 31b:4-6,Ma'aser,מעשר,maaser
Shabbat 34a:3,Ma'aser,מעשר,maaser
Shabbat 119a:6,Ma'aser,מעשר,maaser
Shabbat 56a:3,Ma'aser,מעשר,maaser
Shabbat 127b:4,Ma'aser,מעשר,maaser
Chagigah 18b:1-19a:16,Immersion,טבילה,immersion
Pesachim 112a:12,Rabbinic Authority,רבנות,rabbinic-authority
Taanit 29a:16,Nebuchadnezzar,נבוכדנאצר,nebuchadnezzar
Eruvin 53a:22,Rabbinic Authority,רבנות,rabbinic-authority
Eruvin 62b:10-11,Rabbinic Authority,רבנות,rabbinic-authority
Eruvin 54b:13-18,Rabbinic Authority,רבנות,rabbinic-authority
Eruvin 63a:13-21,Rabbinic Authority,רבנות,rabbinic-authority
Pesachim 108a:10-12,Rabbinic Authority,רבנות,rabbinic-authority
Pesachim 51a:8,Rabbinic Authority,רבנות,rabbinic-authority
Berakhot 51a:16-21,Bareheadedness,גלוי הראש,bareheadedness
Sanhedrin 66a:9-10,Phrasing of Scripture,לשון הפסוק,phrasing-of-scripture
Yevamot 113a:5-8,Ketubah,כתובה,ketubah
Yevamot 117a:2,Ketubah,כתובה,ketubah
Sanhedrin 88b:14-16,Soferim,סופרים,soferim
Bava Batra 21a:8,Soferim,סופרים,soferim
Bava Batra 21b:11-22a:1,Soferim,סופרים,soferim
Shabbat 130a:13,Ketubah,כתובה,ketubah
Menachot 83a:10-13,Right,ימין,right
Yevamot 63b:7-8,Ketubah,כתובה,ketubah
Yevamot 84a:10-12,Ketubah,כתובה,ketubah
Yevamot 85a:7-85b:2,Ketubah,כתובה,ketubah
Yevamot 99a:8,Ketubah,כתובה,ketubah
Nedarim 62b:6,Rain,גשם,rain
Bava Batra 25b:4-7,Rain,גשם,rain
Sotah 12a:16,Jochebed,יוכבד,jochebed
Berakhot 47b:16-17,Freedom,חירות,freedom1
Pesachim 116a:12,Freedom,חירות,freedom1
Sanhedrin 22a:18-22b:4,Women,נשים,women
Kiddushin 71a:13,Anger,כעס,anger
Bava Batra 51b:8,Women,נשים,women
Bava Batra 109b:2-110a:2,Women,נשים,women
Bava Batra 119b:9,Women,נשים,women
Bava Batra 168a:3,Women,נשים,women
Sanhedrin 21a:3,Women,נשים,women
Bava Kamma 92a:10,Noahide,בן נח,noahide
Sanhedrin 59a:11-17,Noahide,בן נח,noahide
Sanhedrin 71b:10-11,Noahide,בן נח,noahide
Sanhedrin 74b:8-75a:1,Noahide,בן נח,noahide
Chullin 92a:21-92b:1,Noahide,בן נח,noahide
Chullin 102a:13,Noahide,בן נח,noahide
Chullin 116a:17,Milk,חָלָב,milk
Chullin 109a:9,Milk,חָלָב,milk
Avodah Zarah 39a:19-39b:3,Milk,חָלָב,milk
Bekhorot 20b:4,Milk,חָלָב,milk
Yoma 54a:13,Modesty,צניעות,modesty
Eruvin 100b:29,Modesty,צניעות,modesty
Shabbat 118b:11,Modesty,צניעות,modesty
Shabbat 140b:16-18,Modesty,צניעות,modesty
Shabbat 80a:7,Modesty,צניעות,modesty
Shabbat 113b:7-8,Modesty,צניעות,modesty
Menachot 17a:16-17,Pigul,פיגול,pigul
Zevachim 44a:4-9,Pigul,פיגול,pigul
Zevachim 41b:5-11,Pigul,פיגול,pigul
Sanhedrin 101a:2,Songs,זמירות,songs
Sanhedrin 99a:23-99b:1,Songs,זמירות,songs
Chagigah 14a:10-12,Intellect,דעת,intellect1
Pesachim 116a:5,Intellect,דעת,intellect1
Pesachim 113b:7,Intellect,דעת,intellect1
Bava Batra 75a:10-11,Pearls,מרגלית,pearls
Eruvin 54b:25,Intellect,דעת,intellect1
Sanhedrin 96b:2,Iron,ברזל,iron
Sanhedrin 108b:2,Iron,ברזל,iron
Taanit 7a:8,Iron,ברזל,iron
Berakhot 10a:9,Drashah,דרשה,drashah
Bekhorot 37a:15-37b:2,Blemishes,מום,blemishes
Bava Metzia 48a:2-3,Comfort,נוחות,comfort
Shabbat 17a:6,Hillel,הִלֵּל,hillel
Shabbat 34a:3-4,Homes,בית,homes1
Shabbat 32b:7,Homes,בית,homes1
Shabbat 118b:10,Homes,בית,homes1
Shabbat 119b:3,Homes,בית,homes1
Eruvin 65a:17-21,Homes,בית,homes1
Eruvin 53a:4,Homes,בית,homes1
Bava Kamma 104b:2,Rabbi Abba,רבי אבא,rabbi-abba
Bava Kamma 117b:6-7,Rabbi Abba,רבי אבא,rabbi-abba
Shabbat 56b:18,Rabbi Abba,רבי אבא,rabbi-abba
Shabbat 119a:3,Rabbi Abba,רבי אבא,rabbi-abba
Shabbat 145b:7,Rabbi Abba,רבי אבא,rabbi-abba
Pesachim 66b:6,Hillel,הִלֵּל,hillel
Berakhot 23b:14-16,Meals (סעודה),סעודה,meals-(סעודה)
Berakhot 35b:18-20,Meals (סעודה),סעודה,meals-(סעודה)
Berakhot 8b:8,Meals (סעודה),סעודה,meals-(סעודה)
Megillah 10b:14,Brides,כלה,brides
Yoma 54a:13,Brides,כלה,brides
Yoma 39b:12,Brides,כלה,brides
Sanhedrin 42b:2,Defenders and Prosecutors,סניגור וקטיגור,defenders-and-prosecutors
Megillah 12a:2,Mistakes,טעות,mistakes
Shabbat 114a:10-114b:1,Yom Kippur,יום כיפור,yom-kippur
Yevamot 106a:12,Mistakes,טעות,mistakes
Ketubot 97a:12-13,Mistakes,טעות,mistakes
Ketubot 99b:10,Mistakes,טעות,mistakes
Ketubot 100b:3-4,Mistakes,טעות,mistakes
Sanhedrin 93b:4,Jealousy,קנאה,jealousy
Berakhot 30b:19-20,Places,מקום,places
Berakhot 24b:15,Places,מקום,places
Berakhot 10b:21-26,Places,מקום,places
Berakhot 8a:16-24,Places,מקום,places
Berakhot 7b:23,Places,מקום,places
Pesachim 59b:14-15,Statement,דיבור,statement
Pesachim 63a:3-4,Statement,דיבור,statement
Eruvin 60b:10,Statement,דיבור,statement
Yoma 77a:13,Statement,דיבור,statement
Berakhot 54a:1,Places,מקום,places
Berakhot 34b:22,Places,מקום,places
Niddah 70b:15-71a:2,Male,זכר,male
Bekhorot 12a:1,Redemption of a Donkey,פטר חמור,redemption-of-a-donkey
Bekhorot 12b:16-13a:4,Redemption of a Donkey,פטר חמור,redemption-of-a-donkey
Bekhorot 5b:3,Redemption of a Donkey,פטר חמור,redemption-of-a-donkey
Bekhorot 9a:3-6,Redemption of a Donkey,פטר חמור,redemption-of-a-donkey
Ketubot 28b:13,Generations,דור,generations
Ketubot 112b:2,Generations,דור,generations
Sotah 31a:8,Generations,דור,generations
Yevamot 49b:12-50a:1,Generations,דור,generations
Bava Batra 120a:5-6,Daughters of Zelophehad,בנות צלפחד,daughters-of-zelophehad
Sotah 48b:7,Generations,דור,generations
Chullin 86a:16,Deaf-mute,חרש,deaf-mute
Gittin 58a:3,Brains,מוח,brains
Gittin 70b:7,Mentally Handicapped People,שוטה,mentally-handicapped-people
Bava Kamma 116a:4,Mentally Handicapped People,שוטה,mentally-handicapped-people
Shabbat 129b:17,Covenant of Salt,ברית מלח,covenant-of-salt
Sotah 21b:5,Mentally Handicapped People,שוטה,mentally-handicapped-people
Bava Batra 115b:3-116a:1,Mentally Handicapped People,שוטה,mentally-handicapped-people
Bava Batra 155b:5,Mentally Handicapped People,שוטה,mentally-handicapped-people
Avodah Zarah 11b:7-8,Idolatry,עבודה זרה,idolatry
Avodah Zarah 70b:2-5,Purity,טוהר,purity
Sanhedrin 68a:9,Purity,טוהר,purity
Sanhedrin 94b:14-17,Purity,טוהר,purity
Sanhedrin 108b:16,Purity,טוהר,purity
Megillah 15a:3-15b:3,Tsaddik,צדיק,tsaddik
Megillah 17b:18-19,Tsaddik,צדיק,tsaddik
Bava Metzia 87a:6,Purity,טוהר,purity
Sanhedrin 65b:15,Purity,טוהר,purity
Yevamot 98a:6,Rabbi Akiva,רבי עקיבא,rabbi-akiva
Berakhot 47a:2,Arrogance (יהירות),יהירות,arrogance-(יהירות)
Berakhot 43b:12-20,Arrogance (יהירות),יהירות,arrogance-(יהירות)
Berakhot 24b:2-3,Arrogance (יהירות),יהירות,arrogance-(יהירות)
Berakhot 16b:7,Arrogance (יהירות),יהירות,arrogance-(יהירות)
Avodah Zarah 17a:3,Door Entrances,פתיחת דלת,door-entrances
Sanhedrin 86b:15,Door Entrances,פתיחת דלת,door-entrances
Sanhedrin 94b:14,Door Entrances,פתיחת דלת,door-entrances
Bava Batra 60a:4-8,Door Entrances,פתיחת דלת,door-entrances
Bava Batra 93b:12-13,Door Entrances,פתיחת דלת,door-entrances
Chagigah 13a:8,The Acts of Creation,מעשה בראשית,the-acts-of-creation
Sanhedrin 102b:3-4,Rav Ashi,רב אשי,rav-ashi
Bava Metzia 86a:1-2,Rav Ashi,רב אשי,rav-ashi
Bava Kamma 47a:9-47b:4,Guarding,שמירה,guarding
Berakhot 59a:13-59b:1,The Acts of Creation,מעשה בראשית,the-acts-of-creation
Chagigah 12b:5,The Acts of Creation,מעשה בראשית,the-acts-of-creation
Pesachim 54b:4,Talmid Chacham,תלמיד חכם,talmid-chacham
Pesachim 113b:8,Talmid Chacham,תלמיד חכם,talmid-chacham
Pesachim 116a:8,Talmid Chacham,תלמיד חכם,talmid-chacham
Pesachim 49a:15,Rabbi Yehoshua [b. Hananyah],ר יהושע,rabbi-yehoshua-b-hananyah
Sotah 42b:15-43a:1,Aron Habrit,ארון הברית,aron-habrit
Sotah 35a:23-35b:1,Aron Habrit,ארון הברית,aron-habrit
Shabbat 12b:3,Visiting the Sick,ביקור חולים,visiting-the-sick
Nedarim 39b:2,Visiting the Sick,ביקור חולים,visiting-the-sick
Berakhot 12b:6-8,Visiting the Sick,ביקור חולים,visiting-the-sick
Berakhot 55b:13,Visiting the Sick,ביקור חולים,visiting-the-sick
Sanhedrin 13b:5-14a:10,Smikhah,סמיכת בית דין,smikhah
Sanhedrin 5a:2-5b:6,Smikhah,סמיכת בית דין,smikhah
Ketubot 112a:15-16,Smikhah,סמיכת בית דין,smikhah
Sanhedrin 30b:2-6,Smikhah,סמיכת בית דין,smikhah
Sotah 17a:17-21,Abraham,אברהם,abraham
Sotah 10a:19-10b:1,Abraham,אברהם,abraham
Sotah 46b:14,Abraham,אברהם,abraham
Sotah 31a:6,Abraham,אברהם,abraham
Kiddushin 82a:10,Abraham,אברהם,abraham
Kiddushin 32b:4-5,Abraham,אברהם,abraham
Avodah Zarah 25a:18-25b:8,Seclusion,יחוד,seclusion
Eruvin 23a:10,Maror,מרור,maror
Pesachim 114b:11-115a:3,Maror,מרור,maror
Pesachim 39a:1-39b:11,Maror,מרור,maror
Pesachim 120a:6-7,Maror,מרור,maror
Pesachim 116a:13-116b:7,Maror,מרור,maror
Menachot 29b:3,Drashah,דרשה,drashah
Menachot 45a:11,Drashah,דרשה,drashah
Chullin 134b:18,Drashah,דרשה,drashah
Chullin 92a:14,Drashah,דרשה,drashah
Taanit 21a:11-12,Abraham,אברהם,abraham
Sukkah 52b:13,Abraham,אברהם,abraham
Bava Metzia 80a:6,Renters,שוכר,renters
Pesachim 119b:4,Abraham,אברהם,abraham
Pesachim 117b:11-12,Abraham,אברהם,abraham
Shabbat 135a:3,Converts,גר,converts
Shabbat 137b:8,Converts,גר,converts
Shabbat 146a:1,Converts,גר,converts
Berakhot 17b:4-5,Converts,גר,converts
Berakhot 47b:12,Converts,גר,converts
Berakhot 57b:20,Converts,גר,converts
Sukkah 53a:12-53b:2,Shir Hama'alot,שיר המעלות,shir-hamaalot
Sotah 49b:11-12,Expression,לשון,expression
Gittin 80a:10,Expression,לשון,expression
Sanhedrin 38b:9,Expression,לשון,expression
Shabbat 140b:8,Generous Eye,עין טובה,generous-eye
Bava Batra 53a:2,Generous Eye,עין טובה,generous-eye
Moed Katan 25a:1-11,Sages,חכם,sages
Yevamot 25b:7,Sages,חכם,sages
Sukkah 22a:1,Shade,צל,shade
Pesachim 114a:2,Shade,צל,shade
Pesachim 50a:10,Shade,צל,shade
Pesachim 111a:14-16,Shade,צל,shade
Berakhot 55a:12,Shade,צל,shade
Sanhedrin 92b:5-6,Mistakes,טעות,mistakes
Sanhedrin 102a:1-2,Mistakes,טעות,mistakes
Sanhedrin 14a:4,Mistakes,טעות,mistakes
Sanhedrin 33a:2-5,Mistakes,טעות,mistakes
Horayot 10a:19,Mistakes,טעות,mistakes
Chullin 63a:5,Minhag,מנהג,minhag
Chullin 93b:3,Minhag,מנהג,minhag
Bava Metzia 96b:15-18,Borrowers,שואל,borrowers
Berakhot 64a:7-8,Meals (סעודה),סעודה,meals-(סעודה)
Berakhot 47a:4-7,Meals (סעודה),סעודה,meals-(סעודה)
Berakhot 51b:11,Meals (סעודה),סעודה,meals-(סעודה)
Berakhot 54b:22-55a:3,Meals (סעודה),סעודה,meals-(סעודה)
Berakhot 58a:5,Meals (סעודה),סעודה,meals-(סעודה)
Berakhot 41b:6-7,Meals (סעודה),סעודה,meals-(סעודה)
Berakhot 42b:2,Meals (סעודה),סעודה,meals-(סעודה)
Berakhot 44a:7,Meals (סעודה),סעודה,meals-(סעודה)
Berakhot 46b:6-7,Meals (סעודה),סעודה,meals-(סעודה)
Sukkah 28a:6,Tanakh,"תנ""ך",tanakh
Bava Batra 58a:8,Abaye,אביי,abaye
Chagigah 10a:2,Tanakh,"תנ""ך",tanakh
Yevamot 76b:16,Paths,דרך,paths
Ketubot 106a:7,Abaye,אביי,abaye
Yevamot 96b:14-15,Synagogues,בית כנסת,synagogues
Nedarim 41a:4,Abaye,אביי,abaye
Yevamot 62b:19,Paths,דרך,paths
Berakhot 9b:29-10a:1,King David,דוד המלך,king-david
Berakhot 7b:12-14,King David,דוד המלך,king-david
Horayot 3b:6,Oils,שמן,oils1
Berakhot 30b:14-18,King David,דוד המלך,king-david
Berakhot 10a:12-19,King David,דוד המלך,king-david
Bava Kamma 65b:17,Oxen,שור,oxen
Bava Kamma 41a:5,Oxen,שור,oxen
Berakhot 63a:27,Excommunication,נדוי,excommunication
Berakhot 42b:14-43a:1,Rav Adda b. Ahavah,רב אדא בר אהבה,rav-adda-b-ahavah
Shabbat 110a:1,Excommunication,נדוי,excommunication
Nazir 57b:5,Rav Adda b. Ahavah,רב אדא בר אהבה,rav-adda-b-ahavah
Shabbat 130b:5,Excommunication,נדוי,excommunication
Eruvin 100b:25,Excommunication,נדוי,excommunication
Eruvin 63a:12,Excommunication,נדוי,excommunication
Bava Kamma 3a:14-17,Oxen,שור,oxen
Bava Kamma 35a:3-5,Oxen,שור,oxen
Bava Kamma 9b:18,Oxen,שור,oxen
Bava Kamma 39a:6,Oxen,שור,oxen
Arakhin 32b:10,Censuses,מפקד,censuses
Yoma 41b:14-42a:11,Parah Adumah,פרה אדומה,parah-adumah
Sotah 17a:18,Parah Adumah,פרה אדומה,parah-adumah
Sanhedrin 78a:4-14,Terefah,טרפה,terefah
Sanhedrin 90b:8-16,Sadducees,צדוקי,sadducees
Sanhedrin 38a:13,Sadducees,צדוקי,sadducees
Yoma 40b:4,Sadducees,צדוקי,sadducees
Gittin 44a:13-44b:12,Canaanite Slaves,עבד כנעני,canaanite-slaves
Gittin 43b:7-8,Canaanite Slaves,עבד כנעני,canaanite-slaves
Gittin 58a:11,Canaanite Slaves,עבד כנעני,canaanite-slaves
Kiddushin 22b:6-15,Canaanite Slaves,עבד כנעני,canaanite-slaves
Kiddushin 49b:10,Canaanite Slaves,עבד כנעני,canaanite-slaves
Ketubot 67a:11,Clothing,בגדים,clothing
Ketubot 111b:10,Clothing,בגדים,clothing
Ketubot 54a:18,Clothing,בגדים,clothing
Ketubot 65a:16-65b:2,Clothing,בגדים,clothing
Ketubot 72a:9-10,Women,נשים,women
Ketubot 75a:2,Women,נשים,women
Ketubot 65a:1-7,Women,נשים,women
Ketubot 67b:1,Women,נשים,women
Ketubot 62b:2,Women,נשים,women
Ketubot 62b:15-63a:2,Women,נשים,women
Ketubot 61a:3,Women,נשים,women
Ketubot 50a:11,Women,נשים,women
Ketubot 59b:6-9,Women,נשים,women
Kiddushin 17b:13,Piercing a Jewish Slave,רציעת עבד עברי,piercing-a-jewish-slave
Berakhot 9b:18,Rav Berona,רב ברונא,rav-berona
Taanit 26a:3,Sections,פרק,sections
Gittin 31b:7,Sections,פרק,sections
Berakhot 14a:4,Sections,פרק,sections
Berakhot 13a:17-19,Sections,פרק,sections
Bava Metzia 83b:6-7,Cups,כוס,cups
Taanit 18a:6-18b:10,The Scroll of Fasts,מגלת תענית,the-scroll-of-fasts
Pesachim 113a:11,Daughters,בת,daughters
Pesachim 89a:15-19,Daughters,בת,daughters
Zevachim 50b:2-51a:4,Kal Vechomer,קל וחומר,kal-vechomer
Bava Metzia 105a:14-15,Olives,זית,olives
Bekhorot 8a:3-12,Birds,ציפורים,birds
Shabbat 143b:3,Olives,זית,olives
Gittin 49b:4-5,Lending,הלואה,lending
Gittin 18a:9-10,Lending,הלואה,lending
Ketubot 88a:8-10,Lending,הלואה,lending
Ketubot 87b:4,Lending,הלואה,lending
Ketubot 72a:7,Lending,הלואה,lending
Ketubot 67b:8,Lending,הלואה,lending
Ketubot 50a:12-13,Lending,הלואה,lending
Bava Kamma 81b:16-18,Burial,קבורה,burial
Bava Metzia 102a:2,Burial,קבורה,burial
Sanhedrin 46b:15-18,Burial,קבורה,burial
Shabbat 119a:9,Yom Kippur,יום כיפור,yom-kippur
Sanhedrin 52a:26,Burial,קבורה,burial
Sanhedrin 47a:8-11,Burial,קבורה,burial
Bava Metzia 105b:7-9,Tefillin,תפילין,tefillin
Bava Batra 75a:2,Smell,ריח,smell
Bava Batra 74b:10,Smell,ריח,smell
Sanhedrin 108a:18,Smell,ריח,smell
Sanhedrin 93b:8,Smell,ריח,smell
Yevamot 103a:17-103b:1,Good,טוב,good
Bava Kamma 27b:16-28a:2,Theft,גנבה,theft
Taanit 23a:8,Good,טוב,good
Yevamot 98a:11,Good,טוב,good
Yevamot 63b:6,Good,טוב,good
Shabbat 113a:11,Yom Kippur,יום כיפור,yom-kippur
Gittin 77a:12,Theft,גנבה,theft
Avodah Zarah 31a:3-4,Rabbi Yochanan b. Napacha,רבי יוחנן,rabbi-yochanan-b-napacha
Bava Metzia 84a:6-7,Rabbi Yochanan b. Napacha,רבי יוחנן,rabbi-yochanan-b-napacha
Bava Metzia 66a:8-9,Rav Nachman [b. Ya'akov],רב נחמן,rav-nachman-b-yaakov
Sanhedrin 81b:14-15,Murderers,רוצח,murderers
Arakhin 16b:8-9,Humility,ענוה,humility
Sanhedrin 81b:13-15,Murderers,רוצח,murderers
Sanhedrin 76b:9-12,Murderers,רוצח,murderers
Sanhedrin 37b:10,Murderers,רוצח,murderers
Chullin 94a:5,Intellect,דעת,intellect1
Sanhedrin 89b:20-21,Simple People,הדיוט,simple-people
Sanhedrin 90a:17,Simple People,הדיוט,simple-people
Bava Kamma 110a:8-110b:17,Gifts to the Priests,מתנות כהונה,gifts-to-the-priests
Shabbat 35b:4-7,Eve of Shabbat,ערב שבת,eve-of-shabbat
Berakhot 30b:19-31a:4,Joy,שמחה,joy
Berakhot 9b:18,Joy,שמחה,joy
Berakhot 6b:29-33,Joy,שמחה,joy
Eruvin 98b:6,Windows,חלון,windows
Bava Batra 58b:6,Windows,חלון,windows
Berakhot 31a:11,Joy,שמחה,joy
Berakhot 31a:4,Joy,שמחה,joy
Shabbat 152a:6,Joy,שמחה,joy
Shabbat 145b:10-14,Joy,שמחה,joy
Shabbat 119a:2,Rabbi Yannai,רבי ינאי,rabbi-yannai
Avodah Zarah 23b:10,Donations for the Tabernacle,נדבת המשכן,donations-for-the-tabernacle
Shabbat 33b:10-34a:1,Safek,ספק,safek
Kiddushin 70a:9-10,Man and Wife,איש ואשה,man-and-wife
Berakhot 32b:11-14,Man's Actions,מעשי האדם,mans-actions
Berakhot 32b:24-25,Man's Actions,מעשי האדם,mans-actions
Berakhot 35b:6-8,Man's Actions,מעשי האדם,mans-actions
Berakhot 17a:11,Man's Actions,מעשי האדם,mans-actions
Shabbat 119b:2,Man's Actions,מעשי האדם,mans-actions
Shabbat 52b:8,Man's Actions,מעשי האדם,mans-actions
Chullin 4a:18-4b:7,Habitual Sinners,מומר,habitual-sinners
Pesachim 109a:6-109b:1,Measurements (שיעורין),שיעורין,measurements-(שיעורין)
Berakhot 17a:3-6,Death,מוות,death
Berakhot 10a:19-20,Death,מוות,death
Bava Metzia 32a:6-32b:1,Unloading and Loading,פריקה וטעינה,unloading-and-loading
Bava Metzia 32b:16,Unloading and Loading,פריקה וטעינה,unloading-and-loading
Berakhot 29a:6,Death,מוות,death
Berakhot 18a:14-18b:3,Death,מוות,death
Berakhot 62a:1-5,Right,ימין,right
Shabbat 88b:4,Right,ימין,right
Shabbat 63a:17-18,Right,ימין,right
Bava Metzia 59a:6,Gehinnom,גהינום,gehinnom
Bava Metzia 83b:4,Gehinnom,גהינום,gehinnom
Sotah 10b:15,Gehinnom,גהינום,gehinnom
Sotah 22a:9,Gehinnom,גהינום,gehinnom
Sotah 41b:14,Gehinnom,גהינום,gehinnom
Yevamot 106b:1-3,Halitzah,חליצה,halitzah
Menachot 21b:14,Peace,שלום,peace
Yevamot 98a:2-7,Converts,גר,converts
Pesachim 95b:10-11,Zav,זב,zav
Bava Kamma 93a:3-4,Groups,חברה (חבורה),groups
Rosh Hashanah 16b:12-17a:2,Groups,חברה (חבורה),groups
Taanit 3b:3-4a:1,Rain,גשם,rain
Taanit 5a:3-4,Rain,גשם,rain
Eruvin 64b:19,Earlier Generations,דורות ראשונים,earlier-generations
Shabbat 88b:6,Rain,גשם,rain
Yoma 35b:8,Rain,גשם,rain
Taanit 24b:11-12,Rain,גשם,rain
Yevamot 39b:17,Sexual Prohibitions,גלוי עריות,sexual-prohibitions
Yevamot 65b:3-16,Women,נשים,women
Yevamot 88b:12-13,Women,נשים,women
Yevamot 21a:14,Sexual Prohibitions,גלוי עריות,sexual-prohibitions
Yevamot 26a:11-12,Women,נשים,women
Chagigah 16b:16,Women,נשים,women
Yevamot 63a:2-10,Women,נשים,women
Yevamot 63b:13-14,Women,נשים,women
Yevamot 42b:1,Women,נשים,women
Yevamot 62b:19,Women,נשים,women
Bava Batra 20b:15,Neighbors,שכנים,neighbors
Yoma 75a:6-7,Sexual Prohibitions,גלוי עריות,sexual-prohibitions
Sukkah 52a:4-5,Imagination,דמיון,imagination
Shabbat 115a:3-4,Writing,כתיבה,writing
Shabbat 133b:5,Writing,כתיבה,writing
Shabbat 13b:4-5,Writing,כתיבה,writing
Shabbat 19a:4,Writing,כתיבה,writing
Shabbat 75b:4,Writing,כתיבה,writing
Shabbat 79b:2-80a:2,Writing,כתיבה,writing
Shabbat 103a:8,Writing,כתיבה,writing
Shabbat 104b:1-10,Writing,כתיבה,writing
Eruvin 43b:13-14,Measurements,מידה,measurements
Sanhedrin 109a:11,Arrogance (יהירות),יהירות,arrogance-(יהירות)
Shabbat 88a:7,Sins,חטא,sins
Bava Batra 78b:15,Arrogance (יהירות),יהירות,arrogance-(יהירות)
Shabbat 89b:4,Sins,חטא,sins
Shabbat 119b:10,Sins,חטא,sins
Sanhedrin 101b:13,Arrogance (יהירות),יהירות,arrogance-(יהירות)
Sanhedrin 98a:7,Arrogance (יהירות),יהירות,arrogance-(יהירות)
Sanhedrin 81a:9,Arrogance (יהירות),יהירות,arrogance-(יהירות)
Sanhedrin 59b:19,Birds,ציפורים,birds
Sanhedrin 70b:12-13,Birds,ציפורים,birds
Sanhedrin 108b:16,Birds,ציפורים,birds
Avodah Zarah 41a:4,Birds,ציפורים,birds
Chullin 22b:5,Birds,ציפורים,birds
Chullin 27a:1,Birds,ציפורים,birds
Chullin 27b:3-12,Birds,ציפורים,birds
Berakhot 28b:6-7,Talmid Chacham,תלמיד חכם,talmid-chacham
Berakhot 10b:25,Talmid Chacham,תלמיד חכם,talmid-chacham
Berakhot 12b:6-8,Talmid Chacham,תלמיד חכם,talmid-chacham
Berakhot 16b:25-17a:1,Talmid Chacham,תלמיד חכם,talmid-chacham
Berakhot 17a:9-17,Talmid Chacham,תלמיד חכם,talmid-chacham
Berakhot 19a:5-6,Talmid Chacham,תלמיד חכם,talmid-chacham
Berakhot 22a:17,Talmid Chacham,תלמיד חכם,talmid-chacham
Berakhot 24b:15,Talmid Chacham,תלמיד חכם,talmid-chacham
Sanhedrin 23a:16,Cleanliness,נקיון,cleanliness
Nedarim 81a:1-2,Cleanliness,נקיון,cleanliness
Sanhedrin 95b:3,Sun,שמש,sun
Ketubot 77a:2-10,Blemishes,מום,blemishes
Ketubot 75a:7-75b:10,Blemishes,מום,blemishes
Chagigah 18a:9,Chachamim,חכמים,chachamim
Chagigah 20a:13,Chachamim,חכמים,chachamim
Berakhot 39a:4,Mocking,לעג,mocking
Ketubot 103a:22,Chachamim,חכמים,chachamim
Arakhin 23b:12-14,Pledges,משכון,pledges
Bava Batra 15a:8,Shmuel (Amora),שמואל (שם אמורא),shmuel-(amora)
Zevachim 118b:20-22,Shmuel (Amora),שמואל (שם אמורא),shmuel-(amora)
Pesachim 108b:2-5,Cups,כוס,cups
Berakhot 23b:13,Kal Vechomer,קל וחומר,kal-vechomer
Shabbat 62b:8,Cups,כוס,cups
Shabbat 67b:15,Cups,כוס,cups
Shabbat 110a:6,Cups,כוס,cups
Shabbat 140a:10,Cups,כוס,cups
Sanhedrin 100b:3,Fish,דג,fish
Avodah Zarah 29a:2,Fish,דג,fish
Avodah Zarah 38a:4,Fish,דג,fish
Avodah Zarah 39a:2-8,Fish,דג,fish
Avodah Zarah 39b:19-40a:1,Fish,דג,fish
Chullin 59a:7,Fish,דג,fish
Chullin 63a:3-4,Fish,דג,fish
Chullin 63b:8,Fish,דג,fish
Bava Batra 119b:9,Sages,חכם,sages
Bava Batra 116a:15,Sages,חכם,sages
Bava Batra 158b:4,Sages,חכם,sages
Bava Batra 120a:4,Sages,חכם,sages
Sanhedrin 98a:13,Clouds,ענן,clouds
Berakhot 59a:7,Clouds,ענן,clouds
Berakhot 59a:9-11,Clouds,ענן,clouds
Bava Batra 16a:19,Clouds,ענן,clouds
Bava Batra 75b:5-6,Clouds,ענן,clouds
Shabbat 55b:15,Priesthood,כהונה,priesthood
Shabbat 118b:12,Priesthood,כהונה,priesthood
Ketubot 46a:6-7,Defaming,מוציא שם רע,defaming
Avodah Zarah 20b:10,Carefulness,זהירות,carefulness
Sanhedrin 96a:6,Carefulness,זהירות,carefulness
Megillah 14a:21-14b:2,King David,דוד המלך,king-david
Megillah 14a:18,King David,דוד המלך,king-david
Taanit 27a:7,King David,דוד המלך,king-david
Pesachim 68b:12,Rav Yosef [b. Chiyya],רב יוסף,rav-yosef-b-chiyya
Sukkah 49b:9,King David,דוד המלך,king-david
Moed Katan 5a:10,Mikvah,מקווה,mikvah
Shabbat 144b:7-8,Mikvah,מקווה,mikvah
Rosh Hashanah 28a:16-17,Coercion,כפיה,coercion
Zevachim 4a:3-6,For its Own Sake,לשמה,for-its-own-sake
Zevachim 7a:5-7b:11,For its Own Sake,לשמה,for-its-own-sake
Ketubot 110b:14,Coercion,כפיה,coercion
Sanhedrin 11a:3,Rabi,רבי,rabi
Avodah Zarah 16a:10,Rabi,רבי,rabi
Avodah Zarah 40b:8-9,Rabi,רבי,rabi
